docs_i,topics_i,metric_id,time_ns,time_ms,time_m,time_h
100,10,jl,49437000,49,0,0
100,10,wjl_pw,165835000,165,0,0
100,10,jsd,35984000,35,0,0
100,10,he,7609000,7,0,0
100,10,wjl_ii,122764000,122,0,0
100,25,jl,7170000,7,0,0
100,25,wjl_pw,22080000,22,0,0
100,25,jsd,26423000,26,0,0
100,25,he,2624000,2,0,0
100,25,wjl_ii,18320000,18,0,0
100,50,jl,3210000,3,0,0
100,50,wjl_pw,8123000,8,0,0
100,50,jsd,46884000,46,0,0
100,50,he,4764000,4,0,0
100,50,wjl_ii,2977000,2,0,0
100,100,jl,2556000,2,0,0
100,100,wjl_pw,6788000,6,0,0
100,100,jsd,126644000,126,0,0
100,100,he,8539000,8,0,0
100,100,wjl_ii,1983000,1,0,0
100,150,jl,1635000,1,0,0
100,150,wjl_pw,3794000,3,0,0
100,150,jsd,155419000,155,0,0
100,150,he,13664000,13,0,0
100,150,wjl_ii,799000,0,0,0
100,300,jl,1433000,1,0,0
100,300,wjl_pw,3690000,3,0,0
100,300,jsd,194486000,194,0,0
100,300,he,23237000,23,0,0
100,300,wjl_ii,535000,0,0,0
1000,10,jl,1313546000,1313,0,0
1000,10,wjl_pw,3949599000,3949,0,0
1000,10,jsd,650549000,650,0,0
1000,10,he,107006000,107,0,0
1000,10,wjl_ii,4383828000,4383,0,0
1000,25,jl,464912000,464,0,0
1000,25,wjl_pw,1341277000,1341,0,0
1000,25,jsd,1574750000,1574,0,0
1000,25,he,200804000,200,0,0
1000,25,wjl_ii,1222270000,1222,0,0
1000,50,jl,190294000,190,0,0
1000,50,wjl_pw,470216000,470,0,0
1000,50,jsd,2997785000,2997,0,0
1000,50,he,391129000,391,0,0
1000,50,wjl_ii,196653000,196,0,0
1000,100,jl,160259000,160,0,0
1000,100,wjl_pw,409036000,409,0,0
1000,100,jsd,6266029000,6266,0,0
1000,100,he,781446000,781,0,0
1000,100,wjl_ii,90507000,90,0,0
1000,150,jl,166899000,166,0,0
1000,150,wjl_pw,383757000,383,0,0
1000,150,jsd,9442844000,9442,0,0
1000,150,he,1158207000,1158,0,0
1000,150,wjl_ii,59609000,59,0,0
1000,300,jl,160284000,160,0,0
1000,300,wjl_pw,370784000,370,0,0
1000,300,jsd,19787459000,19787,0,0
1000,300,he,2469821000,2469,0,0
1000,300,wjl_ii,31368000,31,0,0
10000,10,jl,149620382000,149620,2,0
10000,10,wjl_pw,385694332000,385694,6,0
10000,10,jsd,72569089000,72569,1,0
10000,10,he,9376155000,9376,0,0
10000,10,wjl_ii,459486336000,459486,7,0
10000,25,jl,66844097000,66844,1,0
10000,25,wjl_pw,166456517000,166456,2,0
10000,25,jsd,170638235000,170638,2,0
10000,25,he,27849721000,27849,0,0
10000,25,wjl_ii,150705108000,150705,2,0
10000,50,jl,31819114000,31819,0,0
10000,50,wjl_pw,67983151000,67983,1,0
10000,50,jsd,330698472000,330698,5,0
10000,50,he,47080703000,47080,0,0
10000,50,wjl_ii,29786359000,29786,0,0
10000,100,jl,27006350000,27006,0,0
10000,100,wjl_pw,56172456000,56172,0,0
10000,100,jsd,703867207000,703867,11,0
10000,100,he,91547075000,91547,1,0
10000,100,wjl_ii,11497476000,11497,0,0
10000,150,jl,21305453000,21305,0,0
10000,150,wjl_pw,52982863000,52982,0,0
10000,150,jsd,965706571000,965706,16,0
10000,150,he,134246578000,134246,2,0
10000,150,wjl_ii,7199020000,7199,0,0
10000,300,jl,17543006000,17543,0,0
10000,300,wjl_pw,40397393000,40397,0,0
10000,300,jsd,1860077783000,1860077,31,0
10000,300,he,243707189000,243707,4,0
10000,300,wjl_ii,3426053000,3426,0,0
100000,10,jl,13931807834000,13931807,232,3
100000,10,wjl_pw,44226405102000,44226405,737,12
100000,10,jsd,7264582546000,7264582,121,2
100000,10,he,1687704609000,1687704,28,0
100000,10,wjl_ii,53682363520000,53682363,894,14
100000,25,jl,6784545877000,6784545,113,1
100000,25,wjl_pw,15752907555000,15752907,262,4
100000,25,jsd,16000634868000,16000634,266,4
100000,25,he,2700089201000,2700089,45,0
100000,25,wjl_ii,19593139723000,19593139,326,5
100000,50,jl,3553325352000,3553325,59,0
100000,50,wjl_pw,6769915554000,6769915,112,1
100000,50,jsd,32375194839000,32375194,539,8
100000,50,he,4681832573000,4681832,78,1
100000,50,wjl_ii,3344544331000,3344544,55,0
100000,100,jl,3685911773000,3685911,61,1
100000,100,wjl_pw,5922686870000,5922686,98,1
100000,100,jsd,62844320046000,62844320,1047,17
100000,100,he,8854748861000,8854748,147,2
100000,100,wjl_ii,1275087838000,1275087,21,0
100000,150,jl,4194752499000,4194752,69,1
100000,150,wjl_pw,6166131685000,6166131,102,1
100000,150,jsd,92598337678000,92598337,1543,25
100000,150,he,12837474635000,12837474,213,3
100000,150,wjl_ii,935033505000,935033,15,0
100000,300,jl,4338933214000,4338933,72,1
100000,300,wjl_pw,6478743208000,6478743,107,1
100000,300,jsd,186924221710000,186924221,3115,51
100000,300,he,24485506305000,24485506,408,6
100000,300,wjl_ii,420033190000,420033,7,0
