docs_i,topics_i,metric_id,time_ms
100,50,jl,9
100,50,wjl_pw,34
100,50,jsd,60
100,50,he,13
100,50,wjl_ii,12
100,50,jl,7
100,50,wjl_pw,13
100,50,jsd,52
100,50,he,4
100,50,wjl_ii,5
100,50,jl,3
100,50,wjl_pw,11
100,50,jsd,54
100,50,he,4
100,50,wjl_ii,5
100,50,jl,2
100,50,wjl_pw,8
100,50,jsd,70
100,50,he,4
100,50,wjl_ii,4
100,50,jl,2
100,50,wjl_pw,8
100,50,jsd,54
100,50,he,4
100,50,wjl_ii,3
100,50,jl,3
100,50,wjl_pw,6
100,50,jsd,49
100,50,he,4
100,50,wjl_ii,6
100,50,jl,4
100,50,wjl_pw,13
100,50,jsd,46
100,50,he,4
100,50,wjl_ii,9
100,50,jl,5
100,50,wjl_pw,16
100,50,jsd,66
100,50,he,4
100,50,wjl_ii,10
100,50,jl,2
100,50,wjl_pw,6
100,50,jsd,34
100,50,he,4
100,50,wjl_ii,5
100,50,jl,2
100,50,wjl_pw,7
100,50,jsd,40
100,50,he,4
100,50,wjl_ii,2
100,100,jl,1
100,100,wjl_pw,5
100,100,jsd,70
100,100,he,8
100,100,wjl_ii,1
100,100,jl,2
100,100,wjl_pw,4
100,100,jsd,71
100,100,he,8
100,100,wjl_ii,1
100,100,jl,1
100,100,wjl_pw,5
100,100,jsd,74
100,100,he,9
100,100,wjl_ii,1
100,100,jl,1
100,100,wjl_pw,4
100,100,jsd,80
100,100,he,8
100,100,wjl_ii,1
100,100,jl,1
100,100,wjl_pw,4
100,100,jsd,69
100,100,he,8
100,100,wjl_ii,1
100,100,jl,1
100,100,wjl_pw,4
100,100,jsd,60
100,100,he,7
100,100,wjl_ii,1
100,100,jl,1
100,100,wjl_pw,4
100,100,jsd,60
100,100,he,8
100,100,wjl_ii,1
100,100,jl,1
100,100,wjl_pw,4
100,100,jsd,88
100,100,he,8
100,100,wjl_ii,1
100,100,jl,2
100,100,wjl_pw,6
100,100,jsd,70
100,100,he,8
100,100,wjl_ii,1
100,100,jl,1
100,100,wjl_pw,4
100,100,jsd,62
100,100,he,7
100,100,wjl_ii,1
100,300,jl,1
100,300,wjl_pw,3
100,300,jsd,191
100,300,he,23
100,300,wjl_ii,0
100,300,jl,2
100,300,wjl_pw,4
100,300,jsd,204
100,300,he,25
100,300,wjl_ii,0
100,300,jl,1
100,300,wjl_pw,5
100,300,jsd,189
100,300,he,24
100,300,wjl_ii,0
100,300,jl,1
100,300,wjl_pw,3
100,300,jsd,190
100,300,he,22
100,300,wjl_ii,0
100,300,jl,1
100,300,wjl_pw,4
100,300,jsd,209
100,300,he,25
100,300,wjl_ii,0
100,300,jl,1
100,300,wjl_pw,4
100,300,jsd,216
100,300,he,23
100,300,wjl_ii,0
100,300,jl,1
100,300,wjl_pw,3
100,300,jsd,188
100,300,he,22
100,300,wjl_ii,0
100,300,jl,1
100,300,wjl_pw,3
100,300,jsd,179
100,300,he,22
100,300,wjl_ii,0
100,300,jl,1
100,300,wjl_pw,3
100,300,jsd,178
100,300,he,22
100,300,wjl_ii,0
100,300,jl,1
100,300,wjl_pw,3
100,300,jsd,200
100,300,he,22
100,300,wjl_ii,0
1000,50,jl,217
1000,50,wjl_pw,622
1000,50,jsd,3120
1000,50,he,388
1000,50,wjl_ii,296
1000,50,jl,192
1000,50,wjl_pw,550
1000,50,jsd,2987
1000,50,he,385
1000,50,wjl_ii,271
1000,50,jl,184
1000,50,wjl_pw,510
1000,50,jsd,3048
1000,50,he,389
1000,50,wjl_ii,223
1000,50,jl,206
1000,50,wjl_pw,622
1000,50,jsd,3100
1000,50,he,408
1000,50,wjl_ii,291
1000,50,jl,201
1000,50,wjl_pw,594
1000,50,jsd,3067
1000,50,he,383
1000,50,wjl_ii,331
1000,50,jl,177
1000,50,wjl_pw,524
1000,50,jsd,2985
1000,50,he,380
1000,50,wjl_ii,241
1000,50,jl,182
