docs_i,topics_i,metric,time_ns
100,50,jl,10
100,50,wjl_pw,36
100,50,jsd,69
100,50,he,13
100,50,wjl_ii,11
100,50,jl,9
100,50,wjl_pw,29
100,50,jsd,66
100,50,he,5
100,50,wjl_ii,19
100,50,jl,5
100,50,wjl_pw,15
100,50,jsd,61
100,50,he,5
100,50,wjl_ii,10
100,50,jl,2
100,50,wjl_pw,7
100,50,jsd,73
100,50,he,4
100,50,wjl_ii,3
100,50,jl,3
100,50,wjl_pw,8
100,50,jsd,52
100,50,he,4
100,50,wjl_ii,3
100,50,jl,3
100,50,wjl_pw,8
100,50,jsd,55
100,50,he,4
100,50,wjl_ii,3
100,50,jl,2
100,50,wjl_pw,5
100,50,jsd,43
100,50,he,4
100,50,wjl_ii,13
100,50,jl,3
100,50,wjl_pw,9
100,50,jsd,43
100,50,he,5
100,50,wjl_ii,6
100,50,jl,1
100,50,wjl_pw,5
100,50,jsd,30
100,50,he,4
100,50,wjl_ii,2
100,50,jl,2
100,50,wjl_pw,7
100,50,jsd,30
100,50,he,4
100,50,wjl_ii,4
100,100,jl,1
100,100,wjl_pw,4
100,100,jsd,64
100,100,he,7
100,100,wjl_ii,1
100,100,jl,2
100,100,wjl_pw,6
100,100,jsd,69
100,100,he,8
100,100,wjl_ii,1
100,100,jl,2
100,100,wjl_pw,4
100,100,jsd,104
100,100,he,8
100,100,wjl_ii,1
100,100,jl,1
100,100,wjl_pw,4
100,100,jsd,88
100,100,he,8
100,100,wjl_ii,1
100,100,jl,2
100,100,wjl_pw,5
100,100,jsd,71
100,100,he,8
100,100,wjl_ii,1
100,100,jl,1
100,100,wjl_pw,4
100,100,jsd,60
100,100,he,8
100,100,wjl_ii,1
100,100,jl,2
100,100,wjl_pw,5
100,100,jsd,67
100,100,he,8
100,100,wjl_ii,1
100,100,jl,1
100,100,wjl_pw,4
100,100,jsd,66
100,100,he,8
100,100,wjl_ii,1
100,100,jl,1
100,100,wjl_pw,6
100,100,jsd,63
100,100,he,8
100,100,wjl_ii,1
100,100,jl,1
100,100,wjl_pw,4
100,100,jsd,67
100,100,he,7
100,100,wjl_ii,1
100,300,jl,1
100,300,wjl_pw,4
100,300,jsd,191
100,300,he,23
100,300,wjl_ii,0
100,300,jl,1
100,300,wjl_pw,3
100,300,jsd,184
100,300,he,23
100,300,wjl_ii,0
100,300,jl,1
100,300,wjl_pw,3
100,300,jsd,189
100,300,he,23
100,300,wjl_ii,0
100,300,jl,1
100,300,wjl_pw,4
100,300,jsd,184
100,300,he,24
100,300,wjl_ii,0
100,300,jl,1
100,300,wjl_pw,3
100,300,jsd,188
100,300,he,22
100,300,wjl_ii,0
100,300,jl,1
100,300,wjl_pw,4
100,300,jsd,204
100,300,he,24
100,300,wjl_ii,0
100,300,jl,1
100,300,wjl_pw,4
100,300,jsd,195
100,300,he,23
100,300,wjl_ii,0
100,300,jl,1
100,300,wjl_pw,5
100,300,jsd,185
100,300,he,23
100,300,wjl_ii,0
100,300,jl,1
100,300,wjl_pw,3
100,300,jsd,169
100,300,he,22
100,300,wjl_ii,0
100,300,jl,1
100,300,wjl_pw,3
100,300,jsd,170
100,300,he,22
100,300,wjl_ii,0
